Rank	Name
1	Nikola Jokić
2	Shai Gilgeous-Alexander
3	Victor Wembanyama
4	Luka Dončić
5	Giannis Antetokounmpo
6	Jalen Brunson
7	Anthony Edwards
8	Kawhi Leonard
9	Cade Cunningham
10	Jayson Tatum
11	Donovan Mitchell
12	Tyrese Haliburton
13	Kevin Durant
14	Jaylen Brown
15	LeBron James
16	Tyrese Maxey
17	Karl-Anthony Towns
18	Anthony Davis
19	Devin Booker
20	Scottie Barnes
21	Jalen Johnson
22	Pascal Siakam
23	Jimmy Butler
24	Jamal Murray
25	Joel Embiid
26	Deni Avdija
27	Bam Adebayo
28	OG Anunoby
29	Evan Mobley
30	James Harden
31	Jaren Jackson Jr.
32	Kyrie Irving
33	Alperen Sengun
34	Franz Wagner
35	Paolo Banchero
36	Jalen Williams
37	LaMelo Ball
38	Trae Young
39	Chet Holmgren
40	Lauri Markkanen
41	Stephon Castle
42	De'Aaron Fox
43	Damian Lillard
44	Austin Reaves
45	Zion Williamson
46	Trey Murphy III
47	Michael Porter Jr.
48	Derrick White
49	Aaron Gordon
50	Rudy Gobert
51	Norman Powell
52	Nickeil Alexander-Walker
53	Cooper Flagg
54	Julius Randle
55	Jaden McDaniels
56	Desmond Bane
57	Jalen Duren
58	Brandon Ingram
59	Kon Knueppel
60	Tyler Herro
61	Dylan Harper
62	Darius Garland
63	Mikal Bridges
64	CJ McCollum
65	Amen Thompson
66	Jarrett Allen
67	Keyonte George
68	Brandon Miller
69	Dillon Brooks
70	Alex Caruso
71	Ja Morant
72	Zach LaVine
73	Josh Hart
74	Devin Vassell
75	Ivica Zubac
76	Ausar Thompson
77	Myles Turner
78	Paul George
79	Jrue Holiday
80	Coby White
81	Ayo Dosunmu
82	Domantas Sabonis
83	Naz Reid
84	Payton Pritchard
85	VJ Edgecombe
86	Onyeka Okongwu
87	RJ Barrett
88	Jaime Jaquez Jr.
89	Josh Giddey
90	Isaiah Hartenstein
91	Ajay Mitchell
92	Andrew Nembhard
93	Luguentz Dort
94	Toumani Camara
95	Dyson Daniels
96	Cason Wallace
97	Jalen Suggs
98	Miles Bridges
99	Collin Sexton
100	Donovan Clingan
101	Jalen Green
102	Tobias Harris
103	DeMar DeRozan
104	Nicolas Claxton
105	Immanuel Quickley
106	Dejounte Murray
107	Ryan Rollins
108	Draymond Green
109	Julian Champagnie
110	Cam Johnson
111	Keldon Johnson
112	Andrew Wiggins
113	Rui Hachimura
114	John Collins
115	Fred VanVleet
116	De'Andre Hunter
117	Matas Buzelis
118	Jaden Ivey
119	Bennedict Mathurin
120	Deandre Ayton
121	Shaedon Sharpe
122	Anfernee Simons
123	Quentin Grimes
124	Jared McCain
125	Malik Monk
126	Dereck Lively II
127	PJ Washington
128	Jabari Smith Jr.
129	Alex Sarr
130	Jerami Grant
131	Collin Murray-Boyles
132	Kyshawn George
133	Kevin Porter Jr.
134	Tari Eason
135	Naji Marshall
136	Kelly Oubre Jr.
137	Anthony Black
138	Brice Sensabaugh
139	Ty Jerome
140	Jakob Poeltl
141	Ace Bailey
142	Keegan Murray
143	Scoot Henderson
144	Walker Kessler
145	Cedric Coward
146	Aaron Nesmith
147	Kyle Kuzma
148	Peyton Watson
149	Jeremiah Fears
150	Saddiq Bey
151	Tim Hardaway Jr.
152	Jordan Poole
153	Reed Sheppard
154	Collin Gillespie
155	Jaylen Wells
156	Sam Merrill
157	Brandin Podziemski
158	Tre Jones
159	De'Anthony Melton
160	Max Christie
161	Klay Thompson
162	Mark Williams
163	Max Strus
164	Kel'el Ware
165	Christian Braun
166	Bilal Coulibaly
167	Isaiah Joe
168	Aaron Wiggins
